title,genre,youtube_url
Phil Collins - Another Day In Paradise (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=Qt2mbGP6vFI
Queen - I Want To Break Free (Official Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=f4Mc-NYPHaQ
"Paint It, Black",rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=170sceOWWXc
Red Hot Chili Peppers - Scar Tissue [Official Music Video] [HD UPGRADE],rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=mzJj5-lubeM
Starship - Nothing's Gonna Stop Us Now (Official Music Video) [HD],rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=3wxyN3z9PL4
The Cranberries - Linger (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=G6Kspj3OO0s
The All-American Rejects - Sandbox (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=Rz7aq1mRHW0
Smash Mouth - All Star,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=L_jWHffIx5E
The Beatles - Don't Let Me Down,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=NCtzkaL2t_Y
Sinéad O'Connor - Nothing Compares 2 U (Official Music Video) [HD],rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=0-EF60neguk
Queen - Somebody To Love (Official Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=kijpcUv-b8M
Roxette - Listen to Your Heart (Official Video Remastered),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=dpfbKWoBpRw
Metallica: The Unforgiven (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=DDGhKS6bSAE
Bryan Adams - Heaven,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=s6TtwR2Dbjg
Heart - Alone,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=1Cw1ng75KP0
Foreigner - I Want To Know What Love Is (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=r3Pr1_v7hsw
Air Supply - Making Love Out Of Nothing At All (Official HD Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=ogoIxkPjRts
mgk - cliché (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=m4DVbm9zeR0
Billy Idol - Eyes Without A Face,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=9OFpfTd0EIs
Scorpions - Send Me An Angel,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=1UUYjd2rjsE
Bon Jovi - You Give Love A Bad Name,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=KrZHPOeOxQQ
Ram Jam - Black Betty,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=I_2D8Eo15wE
Bon Jovi - Bed Of Roses (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=NvR60Wg9R7Q
Dire Straits - Walk Of Life (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=kd9TlGDZGkI
Green Day - Basket Case [Official Music Video] (4K Upgrade),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=NUTGr5t3MoY
Journey - Don't Stop Believin' (Official Audio),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=1k8craCGpgs
AC/DC - You Shook Me All Night Long (Official 4K Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=Lo2qQmj0_h4
The Offspring - The Kids Aren't Alright (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=7iNbnineUCI
Phil Makes - Split Decision,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=jzuRNYmlSSs
Simple Minds - Don't You (Forget About Me),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=CdqoNKCCt7A
Counting Crows - Mr. Jones (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=-oqAU5VxFWs
Aerosmith - Cryin' (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=qfNmyxV2Ncw
Metallica: One (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=WM8bTdBs-cw
Foo Fighters - Everlong (Official HD Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=eBG7P-K-r1Y
Marilyn Manson - Sweet Dreams (Are Made Of This) (Alt. Version),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=QUvVdTlA23w
Toto - Hold The Line (Official Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=htgr3pvBr-I
Daryl Hall & John Oates - Maneater (Official Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=yRYFKcMa_Ek
Cutting Crew - (I Just) Died In Your Arms (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=6dOwHzCHfgA
Queen - Radio Ga Ga (Official Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=azdwsXLmrHE
“Ain't Goin' Back To Memphis” (Official Lyric Video) - Cobalt Minor,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=wAVg1HxMkjg
"BLACK SABBATH - ""Paranoid"" (Official Video)",rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=0qanF-91aJo
The Wallflowers - One Headlight (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=Zzyfcys1aLM
Oasis - Don't Look Back In Anger (Official Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=r8OipmKFDeM
AC/DC - Hells Bells (Official 4K Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=etAIpkdhU9Q
Red Hot Chili Peppers - Under The Bridge [Official Music Video],rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=GLvohMXgcBo
Journey - Faithfully (Official HD Video - 1983),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=OMD8hBsA-RI
Bon Jovi - I'll Be There For You,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=mh8MIp2FOhc
Crowded House - Don't Dream It's Over (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=J9gKyRmic20
Alice Cooper - Poison,rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=Qq4j1LtCdww
Phil Collins - In The Air Tonight (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=YkADj0TPrJA
"Bella Shmurda, FOLA - DANGBANA RIDDIM (Official Video)",rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=nwSYUMzIXPM
Aerosmith - Amazing (Official Music Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=zSmOvYzSeaQ
Rage Against The Machine - Killing In the Name (Official HD Video),rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=bWXazVhlyxQ
"Queen - Killer Queen (Top Of The Pops, 1974)",rock,https://www.youtube.com/watch?v=https://www.youtube.com/watch?v=2ZBtPf7FOoM
